Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
HD 3167 c,,0.254,29.8454,,,transit,2016,149,0.86,5261,
HD 5583 b,5.78,,139.35,0.53,,radial vel.,2016,720,1.01,4830,
HD 9174 b,1.11,,1179,2.2,,radial vel.,2016,257.4,1.03,5577,
HD 12484 b,2.98,,58.83,0.297,,radial vel.,2016,167,1.01,5920,
HD 30177 c,7.6,,11613,9.89,,radial vel.,2016,178.4,0.99,5580,
HD 35759 b,3.76,,82.467,0.389,,radial vel.,2016,236,1.15,6060,
HD 42618 b,0.04531,,149.61,0.554,337,radial vel.,2016,77,1.01,5727,
HD 59686 Ab,6.92,,299.36,1.086,,radial vel.,2016,316,1.9,4658,
HD 68402 b,3.07,,1103,2.18,,radial vel.,2016,250,1.12,5950,
HD 72892 b,5.45,,39.475,0.228,,radial vel.,2016,237.4,1.02,5688,
HD 86950 b,3.6,,1270,2.72,,radial vel.,2016,550,1.66,4805,
HD 87646 b,12.4,,13.481,0.117,,radial vel.,2016,240.0,1.12,5770,
HD 128356 b,0.89,,298.2,0.87,,radial vel.,2016,84.9,0.65,4875,
HD 133131 Ab,1.42,,649,1.44,,radial vel.,2016,150,0.95,5799,
HD 133131 Ac,0.42,,3568,4.49,,radial vel.,2016,150,0.95,5799,
HD 133131 Bb,2.5,,5769,6.15,,radial vel.,2016,150,0.93,5805,
HD 143105 b,1.21,,2.1974,0.0379,,radial vel.,2016,159,1.51,6380,
HD 147873 b,5.14,,116.596,0.522,,radial vel.,2016,342.2,1.38,5972,
HD 147873 c,2.3,,491.54,1.36,,radial vel.,2016,342.2,1.38,5972,
HD 164922 c,0.04059,,75.765,0.3351,400,radial vel.,2016,72.2,0.87,5293,
HD 165155 b,2.89,,434.5,1.13,,radial vel.,2016,211.9,1.02,5426,
HD 191806 b,8.52,,1606.3,2.8,,radial vel.,2016,239.6,1.14,6010,
HD 214823 b,19.2,,1877,3.18,,radial vel.,2016,317.9,1.22,6215,
HD 219828 c,15.1,,4791,5.96,,radial vel.,2016,254,1.23,5891,
HD 220842 b,3.18,,218.47,0.74,,radial vel.,2016,204,1.13,5960,
HD 221585 b,1.61,,1173,2.306,,radial vel.,2016,174.8,1.19,5620,
HD 222076 b,1.56,,871,1.83,,radial vel.,2016,272,1.07,4806,
HD 224538 b,5.97,,1189.1,2.28,,radial vel.,2016,253.6,1.34,6097,
HIP 8541 b,5.5,,1560.2,2.8,,radial vel.,2016,550.0,1.17,4670,
HIP 41378 b,,0.259,15.5712,,,transit,2016,378.8,1.15,6199,
HIP 41378 c,,0.228,31.6978,,,transit,2016,378.8,1.15,6199,
HIP 41378 d,,0.353,156,,,transit,2016,378.8,1.15,6199,
HIP 41378 e,,0.492,131,,,transit,2016,378.8,1.15,6199,
HIP 41378 f,,0.91,324,,,transit,2016,378.8,1.15,6199,
HIP 65407 b,0.428,,28.125,0.177,,radial vel.,2016,181,0.93,5460,
HIP 65407 c,0.784,,67.3,0.316,,radial vel.,2016,181,0.93,5460,
HIP 74890 b,2.4,,822.3,2.1,,radial vel.,2016,298.4,1.74,4850,
HIP 109384 b,1.56,,499.48,1.134,,radial vel.,2016,183,0.78,5180,
HIP 109600 b,2.68,,232.08,0.706,,radial vel.,2016,191,0.87,5530,
HR 2562 b,30,1.11,,20.3,,imaging,2016,109.7,1.3,,
K2-8c,,0.215,5.06416,0.0532,631,transit,2016,,0.78,4870,
K2-19d,,0.102,2.50856,0.0344,1252,transit,2016,950,0.93,5430,
K2-24b,,0.52,20.88508,0.1542,709,transit,2016,590,1.12,5743,
K2-24c,,0.723,42.36342,0.2471,560,transit,2016,590,1.12,5743,
K2-26b,,0.238,14.5665,0.0962,,transit,2016,300,0.56,3785,
K2-27b,0.09722,0.4,6.771315,0.06702,,transit,2016,,0.87,5248,
K2-28b,,0.207,2.260455,0.0214,,transit,2016,170,0.26,3214,
K2-29b,0.73,1.19,3.2588321,0.04217,1171,transit,2016,600,0.94,5358,
K2-30b,0.579,1.039,4.098503,0.04839,1185,transit,2016,910,0.9,5425,
K2-31b,1.774,1.06,1.25785,0.022,,transit,2016,,0.91,5280,
K2-32b,0.05191,0.458,8.99213,0.08036,,transit,2016,,0.86,5275,
K2-32c,0.03807,0.269,20.6602,0.1399,,transit,2016,,0.86,5275,
K2-32d,0.03241,0.306,31.7154,0.1862,,transit,2016,,0.86,5275,
K2-33b,3.7,0.45,5.424865,,,transit,2016,470,0.56,3540,
K2-34b,1.76,1.35,2.995607,0.04419,1742,transit,2016,1230,1.28,6132,
K2-35b,,0.125,2.39984,0.032,,transit,2016,,0.76,4680,
K2-35c,,0.186,5.60912,0.0564,,transit,2016,,0.76,4680,
K2-36b,,0.118,1.42266,0.023,,transit,2016,,0.8,4924,
K2-36c,,0.25,5.34059,0.0555,,transit,2016,,0.8,4924,
K2-37b,,0.144,4.44117,0.0511,,transit,2016,,0.9,5413,
K2-37c,,0.245,6.42904,0.0654,,transit,2016,,0.9,5413,
K2-37d,,0.244,14.09189,0.1103,,transit,2016,,0.9,5413,
K2-38b,0.03776,0.138,4.01593,0.0506,,transit,2016,,1.07,5757,
K2-38c,0.03115,0.216,10.56103,0.0964,,transit,2016,,1.07,5757,
K2-39b,0.12522,0.509,4.60497,0.0574,,transit,2016,972.5,1.19,4912,
K2-42b,,0.192,6.68796,0.0617,,transit,2016,,0.7,4613,
K2-43b,,0.368,3.47114,0.03784,,transit,2016,,0.6,3939,
K2-44b,,0.243,5.65688,0.0651,,transit,2016,,1.15,5912,
K2-45b,,0.599,1.7292684,0.0224,,transit,2016,,0.5,4103,
K2-46b,,0.183,19.1541,0.13821,,transit,2016,,0.96,6256,
K2-47b,,0.169,31.6372,0.1779,,transit,2016,,0.75,5054,
K2-48b,,0.2,20.5065,0.1344,,transit,2016,,0.77,4899,
K2-49b,,0.172,2.77065,0.0309,,transit,2016,,0.51,4175,
K2-50b,,0.142,8.7529,0.0705,,transit,2016,,0.61,4326,
K2-52b,,0.99,3.53482,0.0485,,transit,2016,,1.21,6113,
K2-53b,,0.223,12.2054,0.0975,,transit,2016,,0.83,5269,
K2-54b,,0.103,9.7843,0.0671,,transit,2016,,0.42,3798,
K2-55b,,0.341,2.849258,0.03486,,transit,2016,,0.7,4456,
K2-57b,,0.187,9.0063,0.0746,,transit,2016,,0.68,4434,
K2-58b,,0.239,7.05254,0.0692,,transit,2016,,0.89,5413,
K2-58c,,0.145,2.53726,0.035,,transit,2016,,0.89,5413,
K2-58d,,0.153,22.8827,0.1517,,transit,2016,,0.89,5413,
K2-59b,,0.215,20.6921,0.1354,,transit,2016,,0.77,5055,
K2-59c,,0.205,11.2954,0.0905,,transit,2016,,0.77,5055,
K2-60b,0.426,0.683,3.00265,0.045,1400,transit,2016,,0.97,5500,
K2-61b,,0.221,2.57302,0.0392,,transit,2016,,1.21,6293,
K2-62b,,0.191,6.67202,0.0636,,transit,2016,,0.77,4880,
K2-62c,,0.191,16.1966,0.1148,,transit,2016,,0.77,4880,
K2-63b,,0.287,20.257,0.1627,,transit,2016,,1.4,6771,
K2-64b,,0.185,6.53044,0.0619,,transit,2016,,0.74,5312,
K2-65b,,0.141,12.6475,0.1014,,transit,2016,254.6,0.87,5213,
K2-66b,,0.222,5.06965,0.06069,,transit,2016,,1.16,5958,
K2-68b,,0.141,8.05428,0.0708,,transit,2016,,0.73,4746,
K2-69b,,0.207,7.06599,0.0591,,transit,2016,,0.55,4127,
K2-70b,,0.258,13.97896,0.1112,,transit,2016,,0.94,5622,
K2-71b,,0.192,6.98541,0.0559,,transit,2016,,0.48,4006,
K2-72b,,0.067,5.57739,0.037,,transit,2016,,0.22,3497,
K2-72c,,0.077,15.1871,0.0722,,transit,2016,,0.22,3497,
K2-72d,,0.065,7.7599,0.0461,,transit,2016,,0.22,3497,
K2-72e,,0.073,24.1669,0.098,,transit,2016,,0.22,3497,
K2-73b,,0.219,7.49543,0.07619,,transit,2016,,1.05,5922,
K2-74b,,0.206,19.5666,0.1402,,transit,2016,,0.96,6060,
K2-75b,,0.238,7.8142,0.081,,transit,2016,,1.16,5995,
K2-75c,,0.247,18.311,0.1429,,transit,2016,,1.16,5995,
K2-77b,1.9,0.205,8.199796,,,transit,2016,460,0.8,4970,
K2-79b,,0.329,10.99573,0.0987,,transit,2016,,1.06,5926,
K2-80b,,0.179,19.0918,0.135,,transit,2016,,0.9,5441,
K2-80c,,0.131,5.605,0.0596,,transit,2016,,0.9,5441,
K2-81b,,0.162,6.10224,0.0579,,transit,2016,,0.7,4530,
K2-83b,,0.111,2.74697,0.03014,,transit,2016,,0.48,3910,
K2-83c,,0.132,9.99767,0.07131,,transit,2016,,0.48,3910,
K2-84b,,0.215,6.4215,0.0665,,transit,2016,,0.95,5652,
K2-84c,,0.181,27.86,0.1768,,transit,2016,,0.95,5652,
K2-85b,,0.09,0.684533,0.01263,,transit,2016,,0.57,4268,
K2-86b,,0.175,8.77683,0.077,,transit,2016,,0.79,5482,
K2-87b,,0.41,9.72739,0.0876,,transit,2016,,0.95,5406,
K2-88b,,0.11,4.6122,0.0345,,transit,2016,,0.26,3537,
K2-89b,,0.055,1.096026,0.01462,,transit,2016,,0.35,3691,
K2-90b,,0.182,13.7311,0.0926,,transit,2016,,0.56,4136,
K2-90c,,0.091,2.90032,0.0328,,transit,2016,,0.56,4136,
K2-91b,,0.098,1.419549,0.0164,,transit,2016,,0.29,3622,
K2-95b,0.03458,0.31,10.13389,0.0653,,transit,2016,560,0.36,3471,
K2-97b,1.1,1.31,8.4061,,,transit,2016,2490,1.16,4790,
K2-98b,0.10131,0.384,10.13675,0.0943,,transit,2016,1420,1.07,6120,
K2-99b,0.97,1.29,18.249,0.159,,transit,2016,1980,1.6,5990,
K2-100b,,0.312,1.673916,,,transit,2016,592,1.18,6120,
K2-101b,,0.178,14.677286,,,transit,2016,592,0.8,4819,
K2-102b,,0.116,9.915615,,,transit,2016,592,0.77,4695,
K2-104b,,0.17,1.97419,,,transit,2016,592,0.51,3660,
K2-106b,0.0263,0.136,0.571292,0.0116,2333,transit,2016,,0.95,5470,
KELT-4Ab,0.902,1.699,2.9895932,0.04317,1827,transit,2016,680,1.2,6206,
KELT-10b,0.679,1.399,4.1662739,0.0525,1377,transit,2016,600,1.11,5948,
KELT-14b,1.284,1.743,1.7100566,0.03005,,transit,2016,870,1.24,5720,
KELT-15b,0.91,1.443,3.329441,0.04613,,transit,2016,950,1.18,6003,
KELT-17b,1.31,1.525,3.0801716,0.04881,2087,transit,2016,680,1.64,7454,
KIC 7917485 b,11.8,,840,,,timing,2016,,1.63,7067,
Kepler-20g,0.0628,,34.94,0.2055,,radial vel.,2016,950,0.95,5495,
Kepler-56d,5.61,,1002,2.16,,radial vel.,2016,,1.32,4840,
Kepler-80f,,0.108,0.9867873,0.0175,,transit,2016,1160,0.73,4540,
Kepler-132e,,0.105,110.2869374,,,transit,2016,,,6003,
Kepler-148d,,0.774,51.84688575,,,transit,2016,,,5272,
Kepler-154d,,0.343,20.54981883,,,transit,2016,,0.89,5690,
Kepler-154e,,0.134,3.93276465,,,transit,2016,,0.89,5690,
Kepler-154f,,0.134,9.91935684,,,transit,2016,,0.89,5690,
Kepler-157d,,0.13,7.02573474,,,transit,2016,,,5774,
Kepler-166d,,0.154,1.55400393,,,transit,2016,,,5413,
Kepler-167d,,0.107,21.803855,0.1405,536,transit,2016,1100,0.77,4890,
Kepler-167e,,0.906,1071.23228,1.89,131,transit,2016,1100,0.77,4890,
Kepler-176e,,0.129,51.16579,,,transit,2016,,,5232,
Kepler-191d,,0.203,5.94504102,,,transit,2016,,0.85,5282,
Kepler-192d,,0.091,6.47027579,,,transit,2016,,,5479,
Kepler-198d,,0.136,1.31184443,,,transit,2016,,0.93,5574,
Kepler-217d,,0.118,3.88689525,,,transit,2016,,,6171,
Kepler-218d,,0.237,124.5244647,,,transit,2016,,,5502,
Kepler-245e,,0.156,3.21982106,,,transit,2016,,0.8,5100,
Kepler-255d,,0.118,1.04562266,,,transit,2016,,0.97,5573,
Kepler-271d,,0.059,5.24972541,,,transit,2016,,,5524,
Kepler-304e,,0.107,1.49914695,,,transit,2016,,0.8,4731,
Kepler-342e,,0.079,1.64422461,,,transit,2016,,1.13,6175,
Kepler-351d,,0.243,142.544247,,,transit,2016,,0.89,5643,
Kepler-398d,,0.079,6.83437001,,,transit,2016,,,4493,
Kepler-401d,,0.203,184.256405,,,transit,2016,,,6117,
Kepler-403d,,0.127,13.61159129,,,transit,2016,,,6090,
Kepler-411c,,0.292,7.83442788,,,transit,2016,,0.83,4974,
Kepler-436c,,0.208,16.79713874,,,transit,2016,2020,0.73,4651,
Kepler-461b,,0.23,8.31378306,,,transit,2016,1530,0.98,5634,
Kepler-462b,,0.336,84.6879808,,,transit,2016,2390,1.59,7070,
Kepler-463b,,0.272,8.98101683,,,transit,2016,1100,0.87,5661,
Kepler-464b,,0.294,7.25696522,,,transit,2016,2130,1.21,5933,
Kepler-465b,,0.263,9.94067247,,,transit,2016,1910,1.23,6310,
Kepler-466b,,0.254,51.07926307,,,transit,2016,1420,1.04,5927,
Kepler-466c,,0.112,3.70921385,,,transit,2016,1420,1.04,5927,
Kepler-467b,,0.201,24.99324193,,,transit,2016,1490,1.05,5809,
Kepler-468b,,1.19,38.47875707,,,transit,2016,1550,0.96,5498,
Kepler-470b,,1.288,24.66919569,,,transit,2016,3230,1.4,6613,
Kepler-471b,,1.335,5.01423457,,,transit,2016,4480,1.49,6733,
Kepler-472b,,0.287,4.17625551,,,transit,2016,980,0.85,4996,
Kepler-473b,,0.364,14.55731705,,,transit,2016,2090,1.06,5816,
Kepler-474b,,0.273,5.66067294,,,transit,2016,1850,0.99,5785,
Kepler-475b,,0.222,3.10550819,,,transit,2016,910,0.86,5009,
Kepler-476b,,0.275,14.00640607,,,transit,2016,2240,1.03,5837,
Kepler-477b,,0.185,11.11990653,,,transit,2016,1200,0.87,5240,
Kepler-478b,,0.242,13.2217576,,,transit,2016,1400,0.85,5210,
Kepler-479b,,0.189,12.49341307,,,transit,2016,1210,0.86,5247,
Kepler-480b,,0.248,4.9195838,,,transit,2016,2630,1.25,6322,
Kepler-481b,,0.223,10.06082567,,,transit,2016,2330,1.01,5802,
Kepler-482b,,0.211,56.35418576,,,transit,2016,950,0.75,4871,
Kepler-483b,,0.286,30.229104,,,transit,2016,3110,1.28,6346,
Kepler-484b,,0.203,10.04556931,,,transit,2016,1230,0.96,5668,
Kepler-485b,,1.286,3.2432598,,,transit,2016,3830,1.07,5958,
Kepler-486b,,0.981,30.36044667,,,transit,2016,1400,0.79,4926,
Kepler-487b,,1.019,15.3587684,,,transit,2016,2720,0.91,5444,
Kepler-487c,,0.239,38.6519976,,,transit,2016,2720,0.91,5444,
Kepler-488b,,1.409,3.12082923,,,transit,2016,3770,1.07,5970,
Kepler-489b,,0.689,17.27629612,,,transit,2016,1240,0.82,5014,
Kepler-490b,,1.039,3.26869515,,,transit,2016,4070,1.08,6045,
Kepler-491b,,0.796,4.22538451,,,transit,2016,2140,1.04,5582,
Kepler-492b,,0.856,11.72012266,,,transit,2016,2090,0.94,5527,
Kepler-493b,,1.35,3.00387658,,,transit,2016,6330,1.36,6457,
Kepler-494b,,0.637,8.02511821,,,transit,2016,2810,1.1,6007,
Kepler-495b,,0.467,3.41303622,,,transit,2016,2100,0.86,5346,
Kepler-496b,,0.207,8.30864937,,,transit,2016,2140,0.86,5293,
Kepler-497b,,0.539,3.57320367,,,transit,2016,3500,1.09,5834,
Kepler-498b,,0.27,9.61375356,,,transit,2016,2430,0.98,5744,
Kepler-499b,,0.194,5.63252845,,,transit,2016,1710,0.87,5312,
Kepler-500b,,0.23,8.5083244,,,transit,2016,2440,1.02,5813,
Kepler-501b,,0.384,5.64067757,,,transit,2016,3410,1.03,5904,
Kepler-502b,,0.426,4.28686431,,,transit,2016,4670,1.15,6125,
Kepler-504b,,0.142,9.54927542,,,transit,2016,240,0.33,3519,
Kepler-505b,,0.232,27.52197994,,,transit,2016,720,0.55,3931,
Kepler-506b,,0.244,6.8834055,,,transit,2016,750,1.19,6236,
Kepler-507b,,0.116,3.56809693,,,transit,2016,1300,1.16,6113,
Kepler-508b,,0.146,25.30889748,,,transit,2016,1060,1.16,6025,
Kepler-509b,,0.222,41.74600392,,,transit,2016,1110,1.1,6060,
Kepler-510b,,0.22,19.55659418,,,transit,2016,1230,0.91,5746,
Kepler-511b,,0.567,296.637865,,,transit,2016,1460,1,5770,
Kepler-512b,,0.24,34.43587975,,,transit,2016,1730,1.17,5997,
Kepler-513b,,0.196,28.86235584,,,transit,2016,1520,1.02,5849,
Kepler-514b,,0.153,5.65179605,,,transit,2016,1590,1.28,6106,
Kepler-515b,,0.13,19.96371318,,,transit,2016,830,0.9,5293,
Kepler-516b,,0.512,24.85462415,,,transit,2016,2530,1.62,7099,
Kepler-517b,,0.238,60.92832271,,,transit,2016,930,0.95,5690,
Kepler-518b,,0.188,8.51203588,,,transit,2016,1060,0.96,5842,
Kepler-519b,,0.187,24.3078946,,,transit,2016,760,0.89,5260,
Kepler-520b,,0.148,19.67416124,,,transit,2016,1600,1.1,6112,
Kepler-520c,,0.095,5.21104261,,,transit,2016,1600,1.1,6112,
Kepler-521b,,0.284,22.20813214,,,transit,2016,2400,1.34,6406,
Kepler-522b,,0.616,38.58422849,,,transit,2016,2440,1.54,6392,
Kepler-523b,,0.175,5.83598311,,,transit,2016,880,0.93,5515,
Kepler-524b,,0.17,7.97419807,,,transit,2016,2400,1.09,6014,
Kepler-524c,,0.086,1.88897906,,,transit,2016,2400,1.09,6014,
Kepler-525b,,0.235,18.68404933,,,transit,2016,1850,0.95,5573,
Kepler-526b,,0.178,5.45849832,,,transit,2016,1640,1.15,5894,
Kepler-527b,,0.253,13.28535633,,,transit,2016,2940,1.28,6388,
Kepler-528b,,0.186,19.78297415,,,transit,2016,2320,1.01,5807,
Kepler-529b,,0.166,1.98035766,,,transit,2016,2570,1.07,6087,
Kepler-529c,,0.178,12.8345022,,,transit,2016,2570,1.07,6087,
Kepler-530b,,0.269,39.30941904,,,transit,2016,1510,0.97,5697,
Kepler-531b,,0.248,29.88485741,,,transit,2016,830,0.78,4893,
Kepler-532b,,0.229,12.92491623,,,transit,2016,1060,0.87,5192,
Kepler-533b,,0.302,28.51120525,,,transit,2016,990,0.78,4758,
Kepler-534b,,0.2,15.95994513,,,transit,2016,1540,1.05,5884,
Kepler-535b,,0.211,4.90332155,,,transit,2016,2210,1.18,6123,
Kepler-536b,,0.277,1.8270823,,,transit,2016,1450,0.92,5524,
Kepler-537b,,0.126,3.24755522,,,transit,2016,1520,1.07,5763,
Kepler-538b,,0.202,81.73780699,,,transit,2016,540,0.96,5650,
Kepler-539b,0.97,0.747,125.63243,0.4988,,transit,2016,1020,1.05,5820,
Kepler-539c,2.4,,1000,2.42,,transit,2016,1020,1.05,5820,
Kepler-540b,,0.242,172.7049784,,,transit,2016,1100,1.02,5946,
Kepler-541b,,0.3,5.08005848,,,transit,2016,3300,1.41,6166,
Kepler-542b,,0.14,13.14497566,,,transit,2016,1430,0.93,5526,
Kepler-543b,,0.223,13.89961966,,,transit,2016,690,0.7,4671,
Kepler-544b,,0.189,21.41616926,,,transit,2016,2600,1.16,6206,
Kepler-545b,,0.24,13.24934059,,,transit,2016,2710,1.04,5882,
Kepler-546b,,0.624,4.14702026,,,transit,2016,2920,1.11,5967,
Kepler-547b,,0.357,6.01038429,,,transit,2016,1180,0.78,4828,
Kepler-548b,,1.07,4.45419434,,,transit,2016,2530,0.93,5535,
Kepler-549b,,0.229,42.9495649,,,transit,2016,2110,0.88,5360,
Kepler-549c,,0.261,117.040498,,,transit,2016,2110,0.88,5360,
Kepler-550b,,0.394,8.60010411,,,transit,2016,1840,0.87,5322,
Kepler-551b,,0.244,12.3764661,,,transit,2016,1020,0.65,4286,
Kepler-552b,,0.352,5.26341577,,,transit,2016,2720,1.03,5863,
Kepler-553b,,0.413,4.03046804,,,transit,2016,2360,0.92,5266,
Kepler-553c,,0.999,328.2399546,,,transit,2016,2360,0.92,5266,
Kepler-554b,,0.383,1.90220856,,,transit,2016,2090,0.93,5447,
Kepler-555b,,0.252,16.21775407,,,transit,2016,2520,1.03,5894,
Kepler-556b,,0.2,11.72292176,,,transit,2016,2380,1,5740,
Kepler-557b,,0.238,3.70598955,,,transit,2016,3670,1.11,6068,
Kepler-558b,,0.211,29.00790538,,,transit,2016,2130,0.85,5242,
Kepler-559b,,0.322,17.58752333,,,transit,2016,2590,0.96,5630,
Kepler-560b,,0.153,18.47764449,,,transit,2016,290,0.34,3556,
Kepler-561b,,0.621,58.3620495,,,transit,2016,2180,0.96,5646,
Kepler-561c,,0.239,5.35016198,,,transit,2016,2180,0.96,5646,
Kepler-562b,,0.465,18.00931444,,,transit,2016,2680,0.93,5575,
Kepler-563b,,0.276,22.18432708,,,transit,2016,1820,0.8,5066,
Kepler-564b,,0.413,3.75083228,,,transit,2016,2700,0.95,5626,
Kepler-565b,,0.325,4.24374723,,,transit,2016,3400,0.98,5735,
Kepler-566b,,0.192,18.42794624,,,transit,2016,2050,0.83,5132,
Kepler-567b,,0.201,16.54297375,,,transit,2016,1850,0.84,5148,
Kepler-568b,,0.202,11.02347475,,,transit,2016,410,0.55,3768,
Kepler-569b,,0.282,34.18890521,,,transit,2016,2100,0.95,5616,
Kepler-570b,,0.219,4.301662,,,transit,2016,2090,0.93,5496,
Kepler-571b,,0.236,4.79859939,,,transit,2016,2470,0.93,5527,
Kepler-572b,,0.23,17.20523483,,,transit,2016,1740,0.83,5212,
Kepler-573b,,0.249,22.18329658,,,transit,2016,2470,0.99,5746,
Kepler-574b,,0.213,7.65880414,,,transit,2016,2440,0.95,5612,
Kepler-575b,,0.213,9.37891944,,,transit,2016,2780,0.97,5710,
Kepler-576b,,0.292,29.91136794,,,transit,2016,2280,0.99,5672,
Kepler-577b,,0.227,25.69578251,,,transit,2016,1790,0.78,4984,
Kepler-578b,,0.178,1.6168837,,,transit,2016,1850,0.87,5334,
Kepler-579b,,0.178,9.66857723,,,transit,2016,2160,0.99,5636,
Kepler-580b,,0.229,8.22241966,,,transit,2016,1090,0.67,4298,
Kepler-581b,,0.235,40.6069821,,,transit,2016,2720,1,5772,
Kepler-582b,,0.328,18.49235668,,,transit,2016,2450,0.93,5564,
Kepler-583b,,0.203,6.5100253,,,transit,2016,2630,0.94,5523,
Kepler-584b,,0.376,35.1810304,,,transit,2016,4710,1.17,6195,
Kepler-585b,,0.252,2.75235975,,,transit,2016,1970,0.96,5593,
Kepler-586b,,0.249,2.10472218,,,transit,2016,2310,0.94,5575,
Kepler-587b,,0.199,10.94027841,,,transit,2016,2780,0.92,5549,
Kepler-588b,,0.235,4.22162536,,,transit,2016,3170,1.01,5835,
Kepler-589b,,0.203,16.54964934,,,transit,2016,2100,0.88,5296,
Kepler-590b,,0.359,5.85296257,,,transit,2016,3220,1.1,6000,
Kepler-591b,,0.302,81.1694299,,,transit,2016,2590,0.97,5677,
Kepler-592b,,0.213,2.82019241,,,transit,2016,3370,1.04,5913,
Kepler-593b,,0.256,21.21708973,,,transit,2016,3310,1.08,5967,
Kepler-594b,,0.194,13.64618192,,,transit,2016,2420,0.91,5485,
Kepler-595b,,0.34,25.30292332,,,transit,2016,2080,0.87,5247,
Kepler-596b,,0.309,21.30022655,,,transit,2016,3530,1.21,6267,
Kepler-597b,,0.211,13.02365861,,,transit,2016,2200,0.97,5683,
Kepler-598b,,0.134,3.70175428,,,transit,2016,2240,0.87,5307,
Kepler-599b,,0.253,15.65562652,,,transit,2016,2050,0.83,5127,
Kepler-600b,,0.259,23.67517607,,,transit,2016,2040,0.84,5279,
Kepler-601b,,0.17,5.37886844,,,transit,2016,1400,0.85,5160,
Kepler-602b,,0.186,15.28469497,,,transit,2016,3170,1.08,6062,
Kepler-603b,,0.236,21.05358596,,,transit,2016,3150,1.01,5808,
Kepler-603c,,0.58,127.9075774,,,transit,2016,3150,1.01,5808,
Kepler-603d,,0.118,6.2171292,,,transit,2016,3150,1.01,5808,
Kepler-604b,,0.231,25.85501786,,,transit,2016,3200,1.02,5890,
Kepler-605b,,0.128,3.38353807,,,transit,2016,1900,0.91,5462,
Kepler-605c,,0.077,2.35895152,,,transit,2016,1900,0.91,5462,
Kepler-606b,,0.295,24.31575992,,,transit,2016,3940,1.13,6161,
Kepler-607b,,0.078,0.6381632,,,transit,2016,1600,0.84,5196,
Kepler-608b,,0.325,6.41251504,,,transit,2016,3020,1,5820,
Kepler-609b,,0.299,6.52121067,,,transit,2016,3730,1.09,5971,
Kepler-610b,,0.374,6.99692655,,,transit,2016,3630,1.1,5943,
Kepler-610c,,0.294,151.86392,,,transit,2016,3630,1.1,5943,
Kepler-611b,,0.147,2.4370333,,,transit,2016,2950,1.01,5761,
Kepler-612b,,0.253,3.72215641,,,transit,2016,3040,0.98,5693,
Kepler-613b,,0.204,15.77979614,,,transit,2016,2820,0.98,5723,
Kepler-614b,,0.213,14.03491514,,,transit,2016,1860,0.85,5268,
Kepler-615b,,0.155,10.35584657,,,transit,2016,1100,0.73,4655,
Kepler-616b,,0.217,9.99761851,,,transit,2016,3320,0.98,5753,
Kepler-616c,,0.304,90.4113556,,,transit,2016,3320,0.98,5753,
Kepler-617b,,0.118,1.68269615,,,transit,2016,490,0.51,3712,
Kepler-618b,,0.232,3.59576964,,,transit,2016,3640,1.05,5860,
Kepler-619b,,0.282,5.4042722,,,transit,2016,3620,1.09,5980,
Kepler-619c,,0.151,1.20846503,,,transit,2016,3620,1.09,5980,
Kepler-620b,,0.296,12.91375431,,,transit,2016,4050,1.15,6155,
Kepler-621b,,0.205,2.62811375,,,transit,2016,1270,0.72,4521,
Kepler-622b,,0.19,14.28226676,,,transit,2016,840,0.64,4201,
Kepler-623b,,0.269,9.07097734,,,transit,2016,2650,0.9,5443,
Kepler-624b,,0.206,14.58649607,,,transit,2016,2380,1.1,6117,
Kepler-625b,,0.178,7.75192492,,,transit,2016,1640,1.04,5789,
Kepler-625c,,0.094,4.1653651,,,transit,2016,1640,1.04,5789,
Kepler-626b,,0.204,14.48585199,,,transit,2016,2300,1.01,5813,
Kepler-627b,,0.333,40.6994443,,,transit,2016,3730,1.3,6424,
Kepler-628b,,0.749,15.4580567,,,transit,2016,1890,1,5721,
Kepler-629b,,0.123,7.2385854,,,transit,2016,1250,0.93,5444,
Kepler-630b,,0.284,161.4743937,,,transit,2016,2140,1.02,5829,
Kepler-631b,,0.259,17.97979059,,,transit,2016,2750,1.24,6185,
Kepler-632b,,0.197,30.99660733,,,transit,2016,1140,0.91,5322,
Kepler-633b,,0.145,8.50340718,,,transit,2016,2070,1.02,5899,
Kepler-634b,,0.169,5.16950177,,,transit,2016,2470,1.03,6075,
Kepler-635b,,0.236,23.44971004,,,transit,2016,2690,1.33,6174,
Kepler-636b,,0.397,16.08066115,,,transit,2016,1110,0.85,5203,
Kepler-637b,,0.424,23.20584623,,,transit,2016,5140,1.64,6096,
Kepler-638b,,0.163,6.07972888,,,transit,2016,1390,0.88,5382,
Kepler-639b,,0.212,10.21420496,,,transit,2016,2200,1.14,5896,
Kepler-640b,,0.228,22.24813967,,,transit,2016,1750,1.01,5653,
Kepler-641b,,0.165,9.48961571,,,transit,2016,2200,1.02,5713,
Kepler-642b,,0.259,4.41745855,,,transit,2016,3330,1.4,6570,
Kepler-643b,,0.906,16.33889626,,,transit,2016,3360,1,4908,
Kepler-644b,,0.281,3.1739171,,,transit,2016,4610,1.49,6747,
Kepler-645b,,0.187,3.27582262,,,transit,2016,2940,1.13,6170,
